PID,trial,response,rt,accuracy,display,filename,shape_type,colour_type,target_color,distractor_color,quadrant,num_distractors,answer,distractor_bin,bin_group
32,1.0,1,3191.7999999761523,0,Task,image_107.jpg,5.0,2Among5NoColour,blue,blue,Quadrant 2,14.0,2.0,9–16,3
32,2.0,4,1526.0,1,Task,image_17.jpg,2.0,2Among5Colour,blue,red,Quadrant 4,45.0,4.0,33–64,5
32,3.0,3,1677.699999999997,1,Task,image_93.jpg,5.0,2Among5Colour,blue,green,Quadrant 3,82.0,3.0,65–99,6
32,4.0,1,1369.699999988079,1,Task,image_90.jpg,5.0,2Among5Colour,red,blue,Quadrant 1,59.0,1.0,33–64,5
32,5.0,2,1872.300000000003,0,Task,image_69.jpg,2.0,2Among5ConjRed,blue,red,Quadrant 3,82.0,3.0,65–99,6
32,6.0,3,2331.4999999642314,0,Task,image_66.jpg,2.0,2Among5ConjRed,red,blue,Quadrant 1,59.0,1.0,33–64,5
32,7.0,1,2228.299999964249,1,Task,image_57.jpg,2.0,2Among5ConjRed,red,blue,Quadrant 1,9.0,1.0,9–16,3
32,8.0,2,1687.0999999642372,1,Task,image_29.jpg,2.0,2Among5NoColour,green,green,Quadrant 2,5.0,2.0,5–8,2
32,9.0,4,2299.0999999523046,0,Task,image_138.jpg,5.0,2Among5ConjRed,red,blue,Quadrant 1,59.0,1.0,33–64,5
32,10.0,1,2269.7999999999884,1,Task,image_51.jpg,2.0,2Among5ConjRed,red,green,Quadrant 1,3.0,1.0,1–4,1
32,11.0,2,1623.3999999999942,1,Task,image_77.jpg,5.0,2Among5Colour,red,green,Quadrant 2,5.0,2.0,5–8,2
32,12.0,2,2357.099999964237,0,Task,image_140.jpg,5.0,2Among5ConjRed,green,red,Quadrant 4,93.0,4.0,65–99,6
32,13.0,4,1556.3999999642256,1,Task,image_100.jpg,5.0,2Among5NoColour,red,red,Quadrant 4,6.0,4.0,5–8,2
32,14.0,4,2588.3999999880907,1,Task,image_74.jpg,5.0,2Among5Colour,green,red,Quadrant 4,2.0,4.0,1–4,1
32,15.0,2,1577.4999999880674,0,Task,image_44.jpg,2.0,2Among5NoColour,red,red,Quadrant 4,93.0,4.0,65–99,6
32,16.0,4,1374.999999952328,1,Task,image_89.jpg,5.0,2Among5Colour,blue,red,Quadrant 4,45.0,4.0,33–64,5
32,17.0,4,2423.099999964237,1,Task,image_62.jpg,2.0,2Among5ConjRed,green,red,Quadrant 4,25.0,4.0,17–32,4
