,trial_index,video_name,condition,bin,sample,success,failure_type,err_no_distractors,err_no_target,err_wrong_manip,err_new_target_id,err_new_target_unid,err_extra_distractors,err_font_change,err_rotation,err_movement,err_enlarge_target,err_enlarge_distractors,err_target_centre,err_circular_motion,err_merging,err_id_change_before,err_id_change_after,err_vanishing,fidelity_score_total,fidelity_omission,fidelity_numeric,fidelity_temporal,fidelity_physical_vanishing,notes,coder,timestamp,trial_index_DK,video_name_DK,condition_DK,bin_DK,sample_DK,success_DK,failure_type_DK,err_no_distractors_DK,err_no_target_DK,err_wrong_manip_DK,err_new_target_id_DK,err_new_target_unid_DK,err_extra_distractors_DK,err_font_change_DK,err_rotation_DK,err_movement_DK,err_enlarge_target_DK,err_enlarge_distractors_DK,err_target_centre_DK,err_circular_motion_DK,err_merging_DK,err_id_change_before_DK,err_id_change_after_DK,err_vanishing_DK,fidelity_score_total_DK,fidelity_omission_DK,fidelity_numeric_DK,fidelity_temporal_DK,fidelity_physical_vanishing_DK,notes_DK,coder_DK,timestamp_DK,trial_index_FR,video_name_FR,condition_FR,bin_FR,sample_FR,success_FR,failure_type_FR,err_no_distractors_FR,err_no_target_FR,err_wrong_manip_FR,err_new_target_id_FR,err_new_target_unid_FR,err_extra_distractors_FR,err_font_change_FR,err_rotation_FR,err_movement_FR,err_enlarge_target_FR,err_enlarge_distractors_FR,err_target_centre_FR,err_circular_motion_FR,err_merging_FR,err_id_change_before_FR,err_id_change_after_FR,err_vanishing_FR,fidelity_score_total_FR,fidelity_omission_FR,fidelity_numeric_FR,fidelity_temporal_FR,fidelity_physical_vanishing_FR,notes_FR,coder_FR,timestamp_FR
0,0,2Among5Colour_Bin1_Sample1.mp4,2Among5Colour,1,1,1,,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T09:18:42.248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2Among5Colour_Bin1_Sample2.mp4,2Among5Colour,1,2,0,new_generation,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,2,0,,ER_01,2026-03-31T09:19:46.238Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2Among5Colour_Bin1_Sample3.mp4,2Among5Colour,1,3,1,,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,0,1,2,1,,ER_01,2026-03-31T09:20:37.038Z,0.0,2Among5Colour_Bin1_Sample3.mp4,2Among5Colour,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,4.0,1.0,,DK_01,2026-04-02T15:10:55.369Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2Among5Colour_Bin1_Sample4.mp4,2Among5Colour,1,4,1,,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,7,0,1,5,1,,ER_01,2026-03-31T09:21:42.837Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2Among5Colour_Bin1_Sample5.mp4,2Among5Colour,1,5,1,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,distractor identity change,ER_01,2026-03-31T09:22:38.383Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2Among5Colour_Bin1_Sample6.mp4,2Among5Colour,1,6,1,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:23:17.070Z,1.0,2Among5Colour_Bin1_Sample6.mp4,2Among5Colour,1.0,6.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,,DK_01,2026-04-02T15:15:58.221Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2Among5Colour_Bin2_Sample1.mp4,2Among5Colour,2,1,0,new_generation,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,7,0,2,5,0,new distractors / ambiguity in circling new target,ER_01,2026-03-31T09:24:31.537Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2Among5Colour_Bin2_Sample2.mp4,2Among5Colour,2,2,1,,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T09:25:19.368Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2Among5Colour_Bin2_Sample3.mp4,2Among5Colour,2,3,1,,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T09:28:02.700Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2Among5Colour_Bin2_Sample4.mp4,2Among5Colour,2,4,1,,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,5,0,1,3,1,,ER_01,2026-03-31T09:28:48.401Z,2.0,2Among5Colour_Bin2_Sample4.mp4,2Among5Colour,2.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,,DK_01,2026-04-02T15:15:38.383Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
