filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,48,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_1.png,28,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_2.png,19,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_3.png,71,20,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_4.png,21,20,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_5.png,61,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_6.png,43,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_7.png,64,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_8.png,41,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_9.png,31,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_10.png,31,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_11.png,53,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_12.png,53,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_13.png,63,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_14.png,70,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_15.png,49,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_16.png,78,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_17.png,98,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_18.png,69,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_19.png,27,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_20.png,21,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_21.png,51,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_22.png,76,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_23.png,47,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_24.png,83,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_25.png,30,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_26.png,97,20,0,"(3, 2)","(2, 2)",False,"Cell (3,2)."
image_27.png,88,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_28.png,88,20,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_29.png,38,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_30.png,34,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_31.png,73,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
