trial_index,video_name,condition,bin,sample,success,failure_type,err_no_distractors,err_no_target,err_wrong_manip,err_new_target_id,err_new_target_unid,err_extra_distractors,err_font_change,err_rotation,err_movement,err_enlarge_target,err_enlarge_distractors,err_target_centre,err_circular_motion,err_merging,err_other,err_id_change_before,err_id_change_after,err_vanishing,fidelity_score_total,fidelity_omission,fidelity_numeric,fidelity_temporal,fidelity_physical_vanishing,notes,coder,timestamp
0,"2Among5Colour_Bin1_Sample3.mp4","2Among5Colour",1,3,1,"",0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,6,0,1,4,1,"","DK_01","2026-04-02T15:10:55.369Z"
1,"2Among5Colour_Bin1_Sample6.mp4","2Among5Colour",1,6,1,"",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4,0,0,3,1,"","DK_01","2026-04-02T15:15:58.221Z"
2,"2Among5Colour_Bin2_Sample4.mp4","2Among5Colour",2,4,1,"",0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4,0,1,3,0,"","DK_01","2026-04-02T15:15:38.383Z"
3,"2Among5Colour_Bin3_Sample3.mp4","2Among5Colour",3,3,1,"",0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,5,0,1,4,0,"","DK_01","2026-04-02T15:17:31.689Z"
4,"2Among5Colour_Bin3_Sample4.mp4","2Among5Colour",3,4,1,"",0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,5,0,0,5,0,"","DK_01","2026-04-02T15:20:01.481Z"
5,"2Among5Colour_Bin4_Sample3.mp4","2Among5Colour",4,3,0,"new_generation",0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,"","DK_01","2026-04-02T15:21:45.946Z"
6,"2Among5Colour_Bin5_Sample2.mp4","2Among5Colour",5,2,1,"",0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4,0,1,3,0,"","DK_01","2026-04-02T15:23:02.646Z"
7,"2Among5Colour_Bin5_Sample4.mp4","2Among5Colour",5,4,1,"",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,4,0,1,3,0,"idk bro","DK_01","2026-04-02T15:25:24.760Z"
8,"2Among5Colour_Bin6_Sample3.mp4","2Among5Colour",6,3,1,"",0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,5,0,0,5,0,"","DK_01","2026-04-02T15:26:25.376Z"
9,"2Among5Colour_Bin6_Sample5.mp4","2Among5Colour",6,5,1,"",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,3,0,"","DK_01","2026-04-02T15:27:10.061Z"
10,"2Among5ConjRed_Bin1_Sample2.mp4","2Among5ConjRed",1,2,0,"new_generation",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,"","DK_01","2026-04-02T15:28:48.832Z"
11,"2Among5ConjRed_Bin1_Sample3.mp4","2Among5ConjRed",1,3,1,"",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,"","DK_01","2026-04-02T15:29:31.826Z"
12,"2Among5ConjRed_Bin2_Sample2.mp4","2Among5ConjRed",2,2,0,"new_generation",0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,2,3,0,"","DK_01","2026-04-02T15:31:28.150Z"
13,"2Among5ConjRed_Bin2_Sample5.mp4","2Among5ConjRed",2,5,0,"new_generation",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,"","DK_01","2026-04-02T15:33:00.958Z"
14,"2Among5ConjRed_Bin3_Sample1.mp4","2Among5ConjRed",3,1,0,"new_generation",0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,5,0,2,3,0,"","DK_01","2026-04-02T15:34:14.747Z"
15,"2Among5ConjRed_Bin3_Sample5.mp4","2Among5ConjRed",3,5,1,"",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,"","DK_01","2026-04-02T15:35:26.708Z"
16,"2Among5ConjRed_Bin4_Sample1.mp4","2Among5ConjRed",4,1,0,"new_generation",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,"","DK_01","2026-04-02T15:36:23.174Z"
17,"2Among5ConjRed_Bin4_Sample3.mp4","2Among5ConjRed",4,3,0,"location",0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,5,0,1,4,0,"","DK_01","2026-04-02T15:38:25.207Z"
18,"2Among5ConjRed_Bin4_Sample5.mp4","2Among5ConjRed",4,5,0,"new_generation",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,0,"","DK_01","2026-04-02T15:39:23.889Z"
19,"2Among5ConjRed_Bin5_Sample3.mp4","2Among5ConjRed",5,3,0,"new_generation",0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5,0,2,3,0,"","DK_01","2026-04-02T15:40:15.888Z"
20,"2Among5ConjRed_Bin5_Sample4.mp4","2Among5ConjRed",5,4,0,"new_generation",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,2,2,0,"","DK_01","2026-04-02T15:41:37.672Z"
21,"2Among5ConjRed_Bin6_Sample2.mp4","2Among5ConjRed",6,2,0,"new_generation",0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5,0,2,3,0,"","DK_01","2026-04-02T15:42:41.937Z"
